type,mode,run,rate,avg_bytes,exit_code,logfile
long,long,1,315588,8.0,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-long-long-run1-1780116313.log
long,long,2,239393,8.0,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-long-long-run2-1780116318.log
long,long,3,223399,8.0,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-long-long-run3-1780116323.log
long,bijou,1,149595,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-long-bijou-run1-1780116328.log
long,bijou,2,171349,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-long-bijou-run2-1780116334.log
long,bijou,3,177387,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-long-bijou-run3-1780116339.log
long,bijou-java,1,243930,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-long-bijou-java-run1-1780116344.log
long,bijou-java,2,186603,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-long-bijou-java-run2-1780116349.log
long,bijou-java,3,207174,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-long-bijou-java-run3-1780116354.log
int,long,1,0,0,1,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-int-long-run1-1780116358.log
int,long,2,0,0,1,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-int-long-run2-1780116362.log
int,long,3,0,0,1,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-int-long-run3-1780116366.log
int,bijou,1,226651,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-int-bijou-run1-1780116370.log
int,bijou,2,230810,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-int-bijou-run2-1780116375.log
int,bijou,3,185177,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-int-bijou-run3-1780116380.log
int,bijou-java,1,184707,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-int-bijou-java-run1-1780116385.log
int,bijou-java,2,219483,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-int-bijou-java-run2-1780116390.log
int,bijou-java,3,244357,3.7,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-int-bijou-java-run3-1780116394.log
string,long,1,244768,5.4,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-string-long-run1-1780116399.log
string,long,2,241055,5.4,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-string-long-run2-1780116404.log
string,long,3,151004,5.4,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-string-long-run3-1780116409.log
bytes,long,1,174051,8.0,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-bytes-long-run1-1780116414.log
bytes,long,2,191983,8.0,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-bytes-long-run2-1780116420.log
bytes,long,3,209661,8.0,0,/Users/joelhanson/Desktop/Personal/bijou64/perf/kafka/logs/producer-bytes-long-run3-1780116425.log
